Titles,AgrForestFish,Mining,Manufacturing,Utilities,Construction,Wholesale,Retail,AccomFoodServ,Transport&Ware,Communications,Finance&Insur,RealEstate,BusinessServ,Admin,PublicAdminSafe,Education,Health&Social,Arts&Rec,OtherServices,Dwelling
AgrForestFish,880.4159838541573,902.8662135466448,869.8709245566906,893.9786897310723,894.6902463155775,865.9377493923284,866.6815347687361,885.355447150042,894.5046592120971,877.2374389352708,884.4511798087196,886.1172042912649,897.0143349312975,1167.5157542022216,996.4239648429166,872.4644102262546,1006.6733329536974,854.8724742923396,836.0222944132374,7916.608316374225
Mining,1065.6709193486486,1088.121149041136,1098.5095235683114,1079.2336252255618,1079.9451818100688,1051.1926848868197,1051.9364702632274,1070.6103826445333,1079.7595947065884,1062.4923744297603,1069.706115303211,1071.3721397857544,1082.2692704257888,1352.770689696711,1181.678900337406,1057.7193457207459,1191.9282684481886,1040.1274097868309,1021.2772299077269,8101.8632518687145
Manufacturing,8901.18641681839,14513.707487796886,4581.0309048760455,24049.305375522843,-9596.840821859289,4132.526987164208,1859.2781224790767,-6780.2343136753725,25431.930142980844,8134.253738784255,-22964.171080324268,13059.680643703181,11316.89629158342,1263.2070302538004,7536.689123086561,240.90370644018603,5586.984325520644,4621.836715112319,2941.148995658057,8012.299592425804
Utilities,967.325234378427,989.7754640709145,956.7801750809604,980.8879402553421,981.5994968398472,952.8469999165982,953.5907852930059,972.2646976743117,981.4139097363668,964.1466894595405,971.3604303329894,973.0264548155328,983.9235854555673,1254.4250047264914,1083.3332153671863,959.3736607505243,1093.582583477967,941.7817248166093,922.9315449375054,8003.517566898495
Construction,5499.484320451589,37694.054701647765,14197.676087994607,2588.2234301622702,33958.58811737847,4878.537174066903,9514.896513624471,12537.62615301563,24178.429672752784,13085.848473201724,41507.782547869945,6460.745956433046,4188.323135542951,1280.0508988675565,25438.509977213762,14294.76697172589,13358.042292491607,5988.420298410821,4843.804984095133,8029.14346103956
Wholesale,2089.3980467404244,2185.975525797693,1873.9097031191927,2390.60198204139,-7765.259332519619,1891.088891804692,1917.774876525221,1856.255479581974,1850.6344164197699,1959.1242167815292,2112.3165448347354,2257.4978745002145,1967.215794340774,1170.8078879470077,1918.9534258336987,972.5856373178748,1580.127750180497,1712.8626008287067,1414.8568167050553,7919.900450119011
Retail,1445.9886026643062,1064.0576182500668,1114.9962689359847,1612.9888868214193,1561.5165023079792,1291.2152301542883,1354.1618475920839,1379.9763152203404,1551.5731546613413,1443.058414774895,-8470.082676878834,1490.3994052310386,1480.1950662448123,1118.8184735517016,1260.7413548794088,1271.9470695340667,1258.3281096009387,1228.4646723658846,1123.601156385028,7867.911035723705
AccomFoodServ,625.8168509606085,648.267080653096,615.2717916631418,639.3795568375217,640.0911134220287,611.3386164987796,612.0824018751873,630.7563142564932,639.9055263185483,622.6383060417202,629.8520469151708,631.5180713977143,642.4152020377487,912.916621308671,741.824831949366,617.8652773327058,752.0742000601485,600.2733413987908,581.4231615196868,7662.009183480674
Transport&Ware,998.3151083026636,953.9382412252882,904.163211983582,1066.372236901425,1001.0217294227165,901.3815462656087,951.5356457372004,1014.283425003441,985.9135394125421,924.8621914878365,1002.774424901531,877.1144834681654,882.5976031351232,1039.7340495380968,908.0725851087853,874.808928511481,953.4588702303837,839.6522524917168,777.4495573132818,7788.8266117101
Communications,962.1474855443396,1321.454475518917,1535.724646812629,1779.054024670427,1117.0876482033261,1492.6859424320648,1364.904038525699,1677.5758166487756,-5849.71521715966,718.9938429055948,1300.246488058543,1587.9646562550774,1358.6659755599262,1136.2062847799616,1821.6667293601324,1498.076363237654,987.7191604761914,1009.9007370964669,1007.1723079701621,7885.298846951965
Finance&Insur,770.6754297121706,793.1256594046563,760.1303704147022,784.2381355890839,784.9496921735908,756.1971952503418,756.9409806267495,775.6148930080553,784.7641050701104,767.4968847932823,774.710625666733,776.3766501492764,787.2737807893109,1057.7752000602331,886.6834107009281,762.7238560842661,896.9327788117089,745.1319201503529,726.281740271249,7806.867762232237
RealEstate,997.1549842623217,1019.6052139548092,986.609924964855,1010.7176901392368,1011.4292467237419,982.6767498004929,983.4205351769006,1002.0944475582064,1011.2436596202633,993.9764393434352,6529.976143379164,1002.8562046994293,1013.753335339462,1284.254754610386,1113.162965251081,989.203410634419,1123.4123333618618,971.611474700504,952.7612948214,8033.3473167823895
BusinessServ,1061.572427267803,1969.1747426488826,2147.8603951444566,2189.592852924193,3003.4950364217693,2535.369544349559,1751.1837712650965,3112.5051206458566,5384.9670363565965,4317.082934831879,1582.112744299702,3596.881534446349,2491.1842833076175,1232.8239030161194,1742.4765877605362,2517.9211631430458,1175.5211984880823,1160.3475618315229,1405.5223125956857,7981.916465188125
Admin,634.2502070963283,656.7004367888158,623.7051477988616,647.8129129732433,648.5244695577485,619.7719726344994,620.5157580109071,639.189670392213,648.3388824542681,631.07166217744,638.2854030508906,639.9514275334341,650.8485581734685,921.3499774443926,750.2581880850876,626.2986334684256,760.5075561958683,608.7066975345106,589.8565176554066,7670.442539616394
PublicAdminSafe,1096.4835829054334,1140.7673977329785,1069.365993356476,1190.6682279685099,-2968.3223057788778,1001.5140108021293,1088.6572276197555,1148.3211009884146,518.7436914173501,1028.4842265649027,854.3881895993821,1013.8675805005873,1007.3145015462355,1071.7404631964464,981.3473521025195,1047.9844072546973,979.3002095791581,1025.6185284736102,856.7531887870103,7820.83302536845
Education,699.2706411010104,721.7208707934979,688.7255818035437,712.8333469779236,713.5449035624306,684.7924066391815,685.5361920155892,704.2101043968951,713.3593164589502,696.0920961821221,703.3058370555727,704.9718615381162,715.8689921781506,986.3704114490729,815.2786220897679,691.3190674731077,825.5279902005504,673.7271315391927,654.8769516600887,7735.462973621078
Health&Social,650.9123077606082,673.3625374530957,640.3672484631416,664.4750136375214,665.1865702220284,636.4340732987794,637.177858675187,655.8517710564929,665.000983118548,647.7337628417199,654.9475037151706,656.613528197714,667.5106588377485,938.0120781086707,766.9202887493657,642.9607341327055,777.1696568601483,625.3687981987905,606.5186183196865,7687.104640280676
Arts&Rec,644.9589335430237,667.4091632355112,634.413874245557,658.5216394199388,659.2331960044439,630.4806990811949,631.2244844576026,649.8983968389102,659.0476089009653,641.7803886241372,648.9941294975861,650.6601539801313,661.5572846201658,932.058703891088,760.966914531783,637.007359915121,771.2162826425638,619.415423981206,600.5652441021039,7681.1512660630915
OtherServices,633.0292463965407,655.4794760890281,622.4841870990722,646.5919522734539,647.3035088579609,618.5510119347118,619.2947973111195,637.9687096924254,647.1179217544804,629.8507014776524,637.064442351103,638.7304668336465,649.6275974736809,920.1290167446032,749.0372273852981,625.0776727686361,759.2865954960807,607.485736834723,588.635556955619,7669.221578916607
Dwelling,622.9308761642178,645.3811058567053,612.3858168667512,636.493582041131,637.205138625638,608.452641702389,609.1964270787967,627.8703394601025,637.0195515221576,619.7523312453295,626.9660721187802,628.6320966013236,639.5292272413581,910.0306465122803,738.9388571529753,614.9793025363151,749.1882252637579,597.3873666024001,578.5371867232961,7659.123208684286
